Entity,Code,Year,Total
Australia,AUS,2010,6.498
Australia,AUS,2011,6.576
Australia,AUS,2012,6.585
Australia,AUS,2013,6.443
Australia,AUS,2014,6.588
Australia,AUS,2015,6.624
Australia,AUS,2016,6.576
Australia,AUS,2017,6.566
Australia,AUS,2018,6.381
Australia,AUS,2019,6.616
Australia,AUS,2020,6.35
Australia,AUS,2021,6.422
Canada,CAN,2010,7.083
Canada,CAN,2011,7.112
Canada,CAN,2012,7.123
Canada,CAN,2013,7.213
Canada,CAN,2014,7.326
Canada,CAN,2015,7.419
Canada,CAN,2016,7.419
Canada,CAN,2017,7.6
Canada,CAN,2018,7.702
Canada,CAN,2019,7.609
Canada,CAN,2020,8.064
Canada,CAN,2021,7.81
United Kingdom,GBR,2010,8.953
United Kingdom,GBR,2011,8.724
United Kingdom,GBR,2012,8.917
United Kingdom,GBR,2013,8.973
United Kingdom,GBR,2014,8.818
United Kingdom,GBR,2015,9.244
United Kingdom,GBR,2016,9.092
United Kingdom,GBR,2017,9.185
United Kingdom,GBR,2018,9.283
United Kingdom,GBR,2019,8.78
United Kingdom,GBR,2020,10.053
United Kingdom,GBR,2021,9.716
